4/20/2014,Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Status Code,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types
ELEC,VORNADO-CES LP,220 20th St S,,Arlington,VA,22202,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.8561096,-77.0493774,4/20/2014,43289,2014-04-20 07:57:53 UTC,,,J1772 NEMA520
ELEC,FASTPARK,1718 W Nursery Rd,,Linthicum Heights,MD,21090,888-758-4389,E,Public,24 hours daily,,6,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.197951,-76.6834766,4/20/2014,51983,2014-04-20 08:02:38 UTC,,,J1772
ELEC,"Walgreens - Randallstown, MD #6265",9110 Liberty Rd,,Randallstown,MD,21133,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.369864,-76.8000069,4/20/2014,42990,2014-04-20 07:30:39 UTC,,,J1772
ELEC,CARCHARGING,333 Hungerford Dr,,Rockville,MD,20850,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.0864296,-77.1503754,4/20/2014,49580,2014-04-20 07:37:51 UTC,,,J1772
ELEC,MWAA-DCA,2400 S Smith Blvd,,Arlington,VA,22202,888-758-4389,E,Public,24 hours daily,4,4,,ChargePoint Network,http://www.mychargepoint.net/,200-8,38.8516517,-77.0433099,4/20/2014,46388,2014-04-20 07:52:56 UTC,,,NEMA520 J1772
ELEC,"Walgreens - Baltimore, MD #10076",2560 Quarry Lake Drive,,Baltimore,MD,21209,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.3847962,-76.686881,4/20/2014,42715,2014-04-20 07:30:40 UTC,,,J1772
ELEC,UNDER ARMOUR,1450 Beason St,,Baltimore,MD,21230,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.2730026,-76.5931396,4/20/2014,48665,2014-04-20 07:53:29 UTC,,,NEMA520 J1772
ELEC,eVgo - Woodley Gardens Freedom Station,1101 Nelson St,,Rockville,MD,20850,877-455-3833,E,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,1,1,1,eVgo Network,https://www.evgonetwork.com/,200-8,39.091097,-77.1743818,3/6/2014,53725,2014-03-06 18:02:27 UTC,P,12/15/2013,NEMA520 J1772 CHADEMO
ELEC,KOHL'S,13651 Foulger Square,,Woodbridge,VA,22192,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.6561546,-77.303009,4/20/2014,43787,2014-04-20 07:54:19 UTC,,,J1772 NEMA520
ELEC,SMIT,4961 Telsa Drive Suite A,,Bowie,MD,20715,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9571728,-76.7074433,4/20/2014,58595,2014-04-20 07:30:52 UTC,,,J1772
ELEC,TOWNEPLACESUITE,5050 Westview Dr,,Frederick,MD,21703,888-758-4389,E,Public,24 hours daily,,2,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.3705139,-77.4136505,4/20/2014,50378,2014-04-20 07:59:30 UTC,,,J1772
ELEC,Blairs,8201 16th St.,,Silver Spring,MD,20910,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.991846,-77.034751,4/20/2014,40035,2014-04-20 07:30:47 UTC,,,J1772
ELEC,Robert Woodall Nissan,132 Union St Bridge Rd,,Danville,VA,24540,434-797-1411,E,Public - Call ahead,Dealership business hours,,1,,,,GPS,36.595903,-79.397367,5/25/2013,47553,2014-01-20 18:48:44 UTC,P,1/31/2012,J1772
ELEC,eVgo - Trader Joe's Freedom Station - SPX,14100 Lee Hwy,,Centreville,VA,20120,877-455-3833,E,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,1,1,,eVgo Network,https://www.evgonetwork.com/,GPS,38.840261,-77.432639,3/6/2014,52132,2014-03-06 18:07:15 UTC,P,8/1/2013,NEMA520 J1772
ELEC,Nexus,1000 Island Professional Park,,Stevensville,MD,21666,800-663-5633,E,Public,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,2,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9765468,-76.2923426,4/20/2014,41234,2014-04-20 07:30:54 UTC,,,J1772
ELEC,Nissan of Stafford,1 Coachman Cir,,Stafford,VA,22554,540-628-2500,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,38.469235,-77.399225,4/4/2014,47573,2014-04-04 19:17:25 UTC,P,1/31/2012,J1772
ELEC,CARCHARGING,4950 Elm St,,Bethesda,MD,20814,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.981953,-77.0989974,4/20/2014,56052,2014-04-20 07:38:01 UTC,,,J1772
ELEC,Jim Mills Nissan,4760 Greensboro Rd,,Ridgeway,VA,24148,276-956-1212,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,36.629311,-79.8595332,5/25/2013,47569,2014-04-17 15:25:02 UTC,P,1/31/2012,J1772
ELEC,ETMA,4961 Telsa Drive Suite A,,BOWIE,MD,20715,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9571728,-76.7074433,4/20/2014,58599,2014-04-20 07:30:53 UTC,,,J1772
ELEC,Potomac Place Shopping Center,10122 River Road,,Potomac,MD,20854,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.016489,-77.209277,4/20/2014,50380,2014-04-20 07:30:47 UTC,,,J1772
ELEC,James River Air Conditioning - Ashland Branch,107 England St,,Ashland,VA,23005,804-358-9333,E,Public,24 hours daily,,1,,,,200-8,38.86483,-77.0598,11/30/2012,41092,2014-01-20 18:11:39 UTC,P,9/15/2011,J1772
ELEC,350GREEN,8606 Philadelphia Rd,,Rosedale,MD,21237,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.3339462,-76.4962845,4/20/2014,43444,2014-04-20 07:36:15 UTC,,,J1772
ELEC,PAST,4961 Telsa Drive Suite A,,BOWIE,MD,20715,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9571728,-76.7074433,4/20/2014,58605,2014-04-20 07:30:52 UTC,,,J1772
ELEC,Village Center,2387 Warm Hearth Dr,,Blacksburg,VA,24060,540-443-3405,E,Public,24 hours daily; pay lot,,1,,,,200-8,37.197398,-80.419887,12/31/2013,54005,2014-01-20 19:07:02 UTC,P,6/1/2013,J1772
ELEC,Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,1111 W Broad St,2nd level,Richmond,VA,23284,804-828-2421,E,Public,"7am-2am daily; daily fee for visitor parking; students, faculty, and staff may purchase parking permits through VCU",,2,,,,GPS,37.551409,-77.45233,12/31/2012,39574,2014-01-20 18:05:30 UTC,SG,5/15/2011,J1772
ELEC,Shell - YESS! Convenience 4U,328 Rives Rd,I-95 exit 47,Petersburg,VA,23805,804-733-8848,E,Public,6am-11pm daily; per hour fee,4,,,,,200-8,37.1756947,-77.3525337,12/31/2013,39770,2014-01-20 18:35:23 UTC,P,4/15/2011,NEMA520
ELEC,Hotel Floyd,120 Wilson St,At pet-friendly suites,Floyd,VA,24091,540-745-6080,E,Public,8am-10pm daily,,1,,,,200-8,36.9105794,-80.3173853,12/31/2013,39514,2014-01-20 19:18:33 UTC,P,6/1/2011,J1772
ELEC,CARCHARGING,1101 S Joyce St,,Arlington,VA,22202,888-758-4389,E,Public,24 hours daily,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.8641891,-77.0630112,4/20/2014,49602,2014-04-20 07:37:58 UTC,,,J1772
ELEC,UM PTS,500 W Redwood St,,Baltimore,MD,21201,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.2886543,-76.6234512,4/20/2014,43196,2014-04-20 07:50:40 UTC,,,NEMA520 J1772
ELEC,BALTIMORE CITY,Water St,,Baltimore,MD,21202,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.2886734,-76.6093903,4/20/2014,40016,2014-04-20 07:51:56 UTC,,,NEMA520 J1772
ELEC,Darcars Nissan - College Park,9330 Baltimore Ave,,College Park,MD,20740,301-441-8000,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,39.008203,-76.930318,4/4/2014,47692,2014-04-04 19:16:33 UTC,P,1/31/2012,J1772
ELEC,CITYOFMANASSAS,9027 Center St,,Manassas,VA,20110,888-758-4389,E,Public,24 hours daily,2,2,,ChargePoint Network,http://www.mychargepoint.net/,200-8,38.7509108,-77.4702773,4/20/2014,45167,2014-04-20 07:44:19 UTC,,,J1772 NEMA520
ELEC,Artisphere,1101 Wilson Blvd,Located on level G5 of parking garage,Arlington,VA,22209,703-247-0761,E,Public,Garage business hours; pay lot,,2,,,,200-8,38.8952642,-77.0699598,12/31/2013,53994,2014-01-20 19:19:35 UTC,P,10/1/2013,J1772
ELEC,UMD COLLEGEPARK,4130-4134 Mowatt Ln,,College Park,MD,20740,888-758-4389,E,Public,24 hours daily,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.98218,-76.9461325,4/20/2014,56975,2014-04-20 07:50:34 UTC,,,NEMA520 J1772
ELEC,1020 19th Street,1020 19th Street NW,,Washington,DC,20036,800-663-5633,E,Public - Card key at all times,MO: 12 hours; TU: 12 hours; WE: 12 hours; TH: 12 hours; FR: 12 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.903147,-77.043825,4/20/2014,53552,2014-04-20 07:30:50 UTC,,,J1772
ELEC,UDR,3711 Campus,,College Park,MD,20783,888-758-4389,E,Public,24 hours daily,,2,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9844635,-76.9487748,4/20/2014,55765,2014-04-20 07:35:08 UTC,,,J1772
ELEC,JBG - Techworld / 800 K St. - Washington DC,"800 K Street, NW",,Washington,DC,20001,888-998-2546,E,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,Blink Network,http://www.blinknetwork.com/,GPS,38.9020131,-77.0227351,4/20/2014,47650,2014-04-20 07:10:42 UTC,,,J1772
ELEC,MTA,8476-8484 Honeygo Blvd,,Nottingham,MD,21236,888-758-4389,E,Public,24 hours daily,1,5,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.3775917,-76.4601452,4/20/2014,40040,2014-04-20 07:49:52 UTC,,,J1772 NEMA520
ELEC,Magic City Ford Lincoln Isuzu,809 Williamson Rd NE,,Roanoke,VA,24016,540-345-0911,E,Public,Dealership business hours,,2,,,,200-8,37.2802361,-79.9338392,5/31/2013,51902,2014-01-20 18:32:16 UTC,P,4/1/2013,J1772
ELEC,Cowles Nissan,14777 Jefferson Davis Hwy,,Woodbridge,VA,22191,703-497-3000,E,Public - Call ahead,Dealership business hours,,2,,,,200-8,38.6293859,-77.273967,4/4/2014,47579,2014-04-04 19:13:38 UTC,P,1/31/2012,J1772
ELEC,Kip Kilmon's Tyson Ford,8201 Leesburg Pike,Located in the service area.,Vienna,VA,22182,703-448-0100,E,Public - Call ahead,Dealership business hours,,1,,,,200-8,38.915689,-77.228581,12/31/2013,53962,2014-01-20 18:43:32 UTC,P,6/1/2013,J1772
ELEC,Legg Mason Building,100 International Dr,,Baltimore,MD,21201,800-663-5633,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,2,,SemaCharge Network,http://www.semacharge.com/,GPS,39.2825296,-76.6020167,4/20/2014,53565,2014-04-20 07:30:44 UTC,,,J1772
ELEC,Harbor East,650 S. Exeter St,,Baltimore,MD,21201,800-663-5633,E,Public,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,2,,SemaCharge Network,http://www.semacharge.com/,GPS,39.2836059,-76.6001975,4/20/2014,40007,2014-04-20 07:30:44 UTC,,,J1772
ELEC,FEAT,4961 Telsa Drive Suite A,,Bowie,MD,20715,800-663-5633,E,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.9571728,-76.7074433,4/20/2014,58602,2014-04-20 07:30:52 UTC,,,J1772
ELEC,"Walgreens - Clarksville, MD #10539",12400 Auto Drive,,Clarksville,MD,21029,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,39.209188,-76.941111,4/20/2014,42982,2014-04-20 07:30:42 UTC,,,J1772
ELEC,"Walgreens - Vienna, VA #13589",225 Maple Avenue,,Vienna,VA,22180,800-663-5633,E,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,SemaCharge Network,http://www.semacharge.com/,GPS,38.903723,-77.261365,4/20/2014,42655,2014-04-20 07:30:48 UTC,,,J1772
ELEC,Union Station Garage L1,300 Massachusetts Ave NE,"CarCharging Group, Inc. Level 1 (red), row 1D, space 1450",Washington,DC,20002,888-758-4389,E,Public - Credit card at all times,Restricted to garage hours; pay lot; also accept ChargePoint and evCharge cards,1,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.89686512,-77.00584459,11/30/2013,40419,2014-01-20 18:43:33 UTC,P,6/30/2011,NEMA520 J1772
